Areaname,commaloc,Admin2,StateAbrev,State
"Newton, AR",7,Newton,AR,Arkansas
"Ouachita, AR",9,Ouachita,AR,Arkansas
"Perry, AR",6,Perry,AR,Arkansas
"Phillips, AR",9,Phillips,AR,Arkansas
"Pike, AR",5,Pike,AR,Arkansas
"Poinsett, AR",9,Poinsett,AR,Arkansas
"Polk, AR",5,Polk,AR,Arkansas
"Pope, AR",5,Pope,AR,Arkansas
"Prairie, AR",8,Prairie,AR,Arkansas
"Pulaski, AR",8,Pulaski,AR,Arkansas
"Randolph, AR",9,Randolph,AR,Arkansas
"Saline, AR",7,Saline,AR,Arkansas
"Scott, AR",6,Scott,AR,Arkansas
"Searcy, AR",7,Searcy,AR,Arkansas
"Sebastian, AR",10,Sebastian,AR,Arkansas
"Sevier, AR",7,Sevier,AR,Arkansas
"Sharp, AR",6,Sharp,AR,Arkansas
"St. Francis, AR",12,St. Francis,AR,Arkansas
"Stone, AR",6,Stone,AR,Arkansas
"Union, AR",6,Union,AR,Arkansas
"Van Buren, AR",10,Van Buren,AR,Arkansas
"Washington, AR",11,Washington,AR,Arkansas
"White, AR",6,White,AR,Arkansas
"Woodruff, AR",9,Woodruff,AR,Arkansas
"Yell, AR",5,Yell,AR,Arkansas
"Alameda, CA",8,Alameda,CA,California
"Alpine, CA",7,Alpine,CA,California
"Amador, CA",7,Amador,CA,California
"Butte, CA",6,Butte,CA,California
"Calaveras, CA",10,Calaveras,CA,California
"Colusa, CA",7,Colusa,CA,California
"Contra Costa, CA",13,Contra Costa,CA,California
"Del Norte, CA",10,Del Norte,CA,California
"El Dorado, CA",10,El Dorado,CA,California
"Fresno, CA",7,Fresno,CA,California
"Glenn, CA",6,Glenn,CA,California
"Humboldt, CA",9,Humboldt,CA,California
"Imperial, CA",9,Imperial,CA,California
"Inyo, CA",5,Inyo,CA,California
"Kern, CA",5,Kern,CA,California
"Kings, CA",6,Kings,CA,California
"Lake, CA",5,Lake,CA,California
"Lassen, CA",7,Lassen,CA,California
"Los Angeles, CA",12,Los Angeles,CA,California
"Madera, CA",7,Madera,CA,California
"Marin, CA",6,Marin,CA,California
"Mariposa, CA",9,Mariposa,CA,California
"Mendocino, CA",10,Mendocino,CA,California
"Merced, CA",7,Merced,CA,California
"Modoc, CA",6,Modoc,CA,California
"Mono, CA",5,Mono,CA,California
"Monterey, CA",9,Monterey,CA,California
"Napa, CA",5,Napa,CA,California
"Nevada, CA",7,Nevada,CA,California
"Orange, CA",7,Orange,CA,California
"Placer, CA",7,Placer,CA,California
"Plumas, CA",7,Plumas,CA,California
"Riverside, CA",10,Riverside,CA,California
"Sacramento, CA",11,Sacramento,CA,California
"San Benito, CA",11,San Benito,CA,California
"San Bernardino, CA",15,San Bernardino,CA,California
"San Diego, CA",10,San Diego,CA,California
"San Francisco, CA",14,San Francisco,CA,California
"San Joaquin, CA",12,San Joaquin,CA,California
"San Luis Obispo, CA",16,San Luis Obispo,CA,California
"San Mateo, CA",10,San Mateo,CA,California
"Santa Barbara, CA",14,Santa Barbara,CA,California
"Santa Clara, CA",12,Santa Clara,CA,California
"Santa Cruz, CA",11,Santa Cruz,CA,California
"Shasta, CA",7,Shasta,CA,California
"Sierra, CA",7,Sierra,CA,California
"Siskiyou, CA",9,Siskiyou,CA,California
"Solano, CA",7,Solano,CA,California
"Sonoma, CA",7,Sonoma,CA,California
"Stanislaus, CA",11,Stanislaus,CA,California
"Sutter, CA",7,Sutter,CA,California
"Tehama, CA",7,Tehama,CA,California
"Trinity, CA",8,Trinity,CA,California
"Tulare, CA",7,Tulare,CA,California
"Tuolumne, CA",9,Tuolumne,CA,California
"Ventura, CA",8,Ventura,CA,California
"Yolo, CA",5,Yolo,CA,California
"Yuba, CA",5,Yuba,CA,California
"Adams, CO",6,Adams,CO,Colorado
"Alamosa, CO",8,Alamosa,CO,Colorado
"Arapahoe, CO",9,Arapahoe,CO,Colorado
"Archuleta, CO",10,Archuleta,CO,Colorado
"Baca, CO",5,Baca,CO,Colorado
"Bent, CO",5,Bent,CO,Colorado
"Boulder, CO",8,Boulder,CO,Colorado
"Broomfield, CO",11,Broomfield,CO,Colorado
"Chaffee, CO",8,Chaffee,CO,Colorado
"Cheyenne, CO",9,Cheyenne,CO,Colorado
"Clear Creek, CO",12,Clear Creek,CO,Colorado
"Conejos, CO",8,Conejos,CO,Colorado
"Costilla, CO",9,Costilla,CO,Colorado
"Crowley, CO",8,Crowley,CO,Colorado
"Custer, CO",7,Custer,CO,Colorado
"Delta, CO",6,Delta,CO,Colorado
"Denver, CO",7,Denver,CO,Colorado
"Dolores, CO",8,Dolores,CO,Colorado
"Douglas, CO",8,Douglas,CO,Colorado
"Eagle, CO",6,Eagle,CO,Colorado
"El Paso, CO",8,El Paso,CO,Colorado
"Elbert, CO",7,Elbert,CO,Colorado
"Fremont, CO",8,Fremont,CO,Colorado
"Garfield, CO",9,Garfield,CO,Colorado
"Gilpin, CO",7,Gilpin,CO,Colorado
"Grand, CO",6,Grand,CO,Colorado
"Gunnison, CO",9,Gunnison,CO,Colorado
"Hinsdale, CO",9,Hinsdale,CO,Colorado
"Huerfano, CO",9,Huerfano,CO,Colorado
"Jackson, CO",8,Jackson,CO,Colorado
"Jefferson, CO",10,Jefferson,CO,Colorado
"Kiowa, CO",6,Kiowa,CO,Colorado
"Kit Carson, CO",11,Kit Carson,CO,Colorado
"La Plata, CO",9,La Plata,CO,Colorado
"Lake, CO",5,Lake,CO,Colorado
"Larimer, CO",8,Larimer,CO,Colorado
"Las Animas, CO",11,Las Animas,CO,Colorado
"Lincoln, CO",8,Lincoln,CO,Colorado
"Logan, CO",6,Logan,CO,Colorado
"Mesa, CO",5,Mesa,CO,Colorado
"Mineral, CO",8,Mineral,CO,Colorado
"Moffat, CO",7,Moffat,CO,Colorado
"Montezuma, CO",10,Montezuma,CO,Colorado
"Montrose, CO",9,Montrose,CO,Colorado
"Morgan, CO",7,Morgan,CO,Colorado
"Otero, CO",6,Otero,CO,Colorado
"Ouray, CO",6,Ouray,CO,Colorado
"Park, CO",5,Park,CO,Colorado
"Phillips, CO",9,Phillips,CO,Colorado
"Pitkin, CO",7,Pitkin,CO,Colorado
"Prowers, CO",8,Prowers,CO,Colorado
"Pueblo, CO",7,Pueblo,CO,Colorado
"Rio Blanco, CO",11,Rio Blanco,CO,Colorado
"Rio Grande, CO",11,Rio Grande,CO,Colorado
"Routt, CO",6,Routt,CO,Colorado
"Saguache, CO",9,Saguache,CO,Colorado
"San Juan, CO",9,San Juan,CO,Colorado
"San Miguel, CO",11,San Miguel,CO,Colorado
"Sedgwick, CO",9,Sedgwick,CO,Colorado
"Summit, CO",7,Summit,CO,Colorado
"Teller, CO",7,Teller,CO,Colorado
"Washington, CO",11,Washington,CO,Colorado
"Weld, CO",5,Weld,CO,Colorado
"Yuma, CO",5,Yuma,CO,Colorado
"Fairfield, CT",10,Fairfield,CT,Connecticut
"Hartford, CT",9,Hartford,CT,Connecticut
"Litchfield, CT",11,Litchfield,CT,Connecticut
"Middlesex, CT",10,Middlesex,CT,Connecticut
"New Haven, CT",10,New Haven,CT,Connecticut
"New London, CT",11,New London,CT,Connecticut
"Tolland, CT",8,Tolland,CT,Connecticut
"Windham, CT",8,Windham,CT,Connecticut
DISTRICT OF COLUMBIA,,District of Columbia,DC,DC
"Kent, DE",5,Kent,DE,Delaware
"New Castle, DE",11,New Castle,DE,Delaware
"Sussex, DE",7,Sussex,DE,Delaware
"Alachua, FL",8,Alachua,FL,Florida
"Baker, FL",6,Baker,FL,Florida
"Bay, FL",4,Bay,FL,Florida
"Bradford, FL",9,Bradford,FL,Florida
"Brevard, FL",8,Brevard,FL,Florida
"Broward, FL",8,Broward,FL,Florida
"Calhoun, FL",8,Calhoun,FL,Florida
"Charlotte, FL",10,Charlotte,FL,Florida
"Citrus, FL",7,Citrus,FL,Florida
"Clay, FL",5,Clay,FL,Florida
"Collier, FL",8,Collier,FL,Florida
"Columbia, FL",9,Columbia,FL,Florida
"DeSoto, FL",7,DeSoto,FL,Florida
"Dixie, FL",6,Dixie,FL,Florida
"Duval, FL",6,Duval,FL,Florida
"Escambia, FL",9,Escambia,FL,Florida
"Flagler, FL",8,Flagler,FL,Florida
"Franklin, FL",9,Franklin,FL,Florida
"Gadsden, FL",8,Gadsden,FL,Florida
"Gilchrist, FL",10,Gilchrist,FL,Florida
"Glades, FL",7,Glades,FL,Florida
"Gulf, FL",5,Gulf,FL,Florida
"Hamilton, FL",9,Hamilton,FL,Florida
"Hardee, FL",7,Hardee,FL,Florida
"Hendry, FL",7,Hendry,FL,Florida
"Hernando, FL",9,Hernando,FL,Florida
"Highlands, FL",10,Highlands,FL,Florida
"Hillsborough, FL",13,Hillsborough,FL,Florida
"Holmes, FL",7,Holmes,FL,Florida
"Indian River, FL",13,Indian River,FL,Florida
"Jackson, FL",8,Jackson,FL,Florida
"Jefferson, FL",10,Jefferson,FL,Florida
"Lafayette, FL",10,Lafayette,FL,Florida
"Lake, FL",5,Lake,FL,Florida
"Lee, FL",4,Lee,FL,Florida
"Leon, FL",5,Leon,FL,Florida
"Levy, FL",5,Levy,FL,Florida
"Liberty, FL",8,Liberty,FL,Florida
"Madison, FL",8,Madison,FL,Florida
"Manatee, FL",8,Manatee,FL,Florida
"Marion, FL",7,Marion,FL,Florida
"Martin, FL",7,Martin,FL,Florida
"Miami-Dade, FL",11,Miami-Dade,FL,Florida
"Monroe, FL",7,Monroe,FL,Florida
"Nassau, FL",7,Nassau,FL,Florida
"Okaloosa, FL",9,Okaloosa,FL,Florida
"Okeechobee, FL",11,Okeechobee,FL,Florida
"Orange, FL",7,Orange,FL,Florida
"Osceola, FL",8,Osceola,FL,Florida
"Palm Beach, FL",11,Palm Beach,FL,Florida
"Pasco, FL",6,Pasco,FL,Florida
"Pinellas, FL",9,Pinellas,FL,Florida
"Polk, FL",5,Polk,FL,Florida
"Putnam, FL",7,Putnam,FL,Florida
"Santa Rosa, FL",11,Santa Rosa,FL,Florida
"Sarasota, FL",9,Sarasota,FL,Florida
"Seminole, FL",9,Seminole,FL,Florida
"St. Johns, FL",10,St. Johns,FL,Florida
"St. Lucie, FL",10,St. Lucie,FL,Florida
"Sumter, FL",7,Sumter,FL,Florida
"Suwannee, FL",9,Suwannee,FL,Florida
"Taylor, FL",7,Taylor,FL,Florida
"Union, FL",6,Union,FL,Florida
"Volusia, FL",8,Volusia,FL,Florida
"Wakulla, FL",8,Wakulla,FL,Florida
"Walton, FL",7,Walton,FL,Florida
"Washington, FL",11,Washington,FL,Florida
"Appling, GA",8,Appling,GA,Georgia
"Atkinson, GA",9,Atkinson,GA,Georgia
"Bacon, GA",6,Bacon,GA,Georgia
"Baker, GA",6,Baker,GA,Georgia
"Baldwin, GA",8,Baldwin,GA,Georgia
"Banks, GA",6,Banks,GA,Georgia
"Barrow, GA",7,Barrow,GA,Georgia
"Bartow, GA",7,Bartow,GA,Georgia
"Ben Hill, GA",9,Ben Hill,GA,Georgia
"Berrien, GA",8,Berrien,GA,Georgia
"Bibb, GA",5,Bibb,GA,Georgia
"Bleckley, GA",9,Bleckley,GA,Georgia
"Brantley, GA",9,Brantley,GA,Georgia
"Brooks, GA",7,Brooks,GA,Georgia
"Bryan, GA",6,Bryan,GA,Georgia
"Bulloch, GA",8,Bulloch,GA,Georgia
"Burke, GA",6,Burke,GA,Georgia
"Butts, GA",6,Butts,GA,Georgia
"Calhoun, GA",8,Calhoun,GA,Georgia
"Camden, GA",7,Camden,GA,Georgia
"Candler, GA",8,Candler,GA,Georgia
"Carroll, GA",8,Carroll,GA,Georgia
"Catoosa, GA",8,Catoosa,GA,Georgia
"Charlton, GA",9,Charlton,GA,Georgia
"Chatham, GA",8,Chatham,GA,Georgia
"Chattahoochee, GA",14,Chattahoochee,GA,Georgia
"Chattooga, GA",10,Chattooga,GA,Georgia
"Cherokee, GA",9,Cherokee,GA,Georgia
"Clarke, GA",7,Clarke,GA,Georgia
"Clay, GA",5,Clay,GA,Georgia
"Clayton, GA",8,Clayton,GA,Georgia
"Clinch, GA",7,Clinch,GA,Georgia
"Cobb, GA",5,Cobb,GA,Georgia
"Coffee, GA",7,Coffee,GA,Georgia
"Colquitt, GA",9,Colquitt,GA,Georgia
"Columbia, GA",9,Columbia,GA,Georgia
"Cook, GA",5,Cook,GA,Georgia
"Coweta, GA",7,Coweta,GA,Georgia
"Crawford, GA",9,Crawford,GA,Georgia
"Crisp, GA",6,Crisp,GA,Georgia
"Dade, GA",5,Dade,GA,Georgia
"Dawson, GA",7,Dawson,GA,Georgia
"Decatur, GA",8,Decatur,GA,Georgia
"DeKalb, GA",7,DeKalb,GA,Georgia
"Dodge, GA",6,Dodge,GA,Georgia
"Dooly, GA",6,Dooly,GA,Georgia
"Dougherty, GA",10,Dougherty,GA,Georgia
"Douglas, GA",8,Douglas,GA,Georgia
"Early, GA",6,Early,GA,Georgia
"Echols, GA",7,Echols,GA,Georgia
"Effingham, GA",10,Effingham,GA,Georgia
"Elbert, GA",7,Elbert,GA,Georgia
"Emanuel, GA",8,Emanuel,GA,Georgia
"Evans, GA",6,Evans,GA,Georgia
"Fannin, GA",7,Fannin,GA,Georgia
"Fayette, GA",8,Fayette,GA,Georgia
"Floyd, GA",6,Floyd,GA,Georgia
"Forsyth, GA",8,Forsyth,GA,Georgia
"Franklin, GA",9,Franklin,GA,Georgia
"Fulton, GA",7,Fulton,GA,Georgia
"Gilmer, GA",7,Gilmer,GA,Georgia
"Glascock, GA",9,Glascock,GA,Georgia
"Glynn, GA",6,Glynn,GA,Georgia
"Gordon, GA",7,Gordon,GA,Georgia
"Grady, GA",6,Grady,GA,Georgia
"Greene, GA",7,Greene,GA,Georgia
"Gwinnett, GA",9,Gwinnett,GA,Georgia
"Habersham, GA",10,Habersham,GA,Georgia
"Hall, GA",5,Hall,GA,Georgia
"Hancock, GA",8,Hancock,GA,Georgia
"Haralson, GA",9,Haralson,GA,Georgia
"Harris, GA",7,Harris,GA,Georgia
"Hart, GA",5,Hart,GA,Georgia
"Heard, GA",6,Heard,GA,Georgia
"Henry, GA",6,Henry,GA,Georgia
"Houston, GA",8,Houston,GA,Georgia
"Irwin, GA",6,Irwin,GA,Georgia
"Jackson, GA",8,Jackson,GA,Georgia
"Jasper, GA",7,Jasper,GA,Georgia
"Jeff Davis, GA",11,Jeff Davis,GA,Georgia
"Jefferson, GA",10,Jefferson,GA,Georgia
"Jenkins, GA",8,Jenkins,GA,Georgia
"Johnson, GA",8,Johnson,GA,Georgia
"Jones, GA",6,Jones,GA,Georgia
"Lamar, GA",6,Lamar,GA,Georgia
"Lanier, GA",7,Lanier,GA,Georgia
"Laurens, GA",8,Laurens,GA,Georgia
"Lee, GA",4,Lee,GA,Georgia
"Liberty, GA",8,Liberty,GA,Georgia
"Lincoln, GA",8,Lincoln,GA,Georgia
"Long, GA",5,Long,GA,Georgia
"Lowndes, GA",8,Lowndes,GA,Georgia
"Lumpkin, GA",8,Lumpkin,GA,Georgia
"Macon, GA",6,Macon,GA,Georgia
"Madison, GA",8,Madison,GA,Georgia
"Marion, GA",7,Marion,GA,Georgia
"McDuffie, GA",9,McDuffie,GA,Georgia
"McIntosh, GA",9,McIntosh,GA,Georgia
"Meriwether, GA",11,Meriwether,GA,Georgia
"Miller, GA",7,Miller,GA,Georgia
"Mitchell, GA",9,Mitchell,GA,Georgia
"Monroe, GA",7,Monroe,GA,Georgia
"Montgomery, GA",11,Montgomery,GA,Georgia
"Morgan, GA",7,Morgan,GA,Georgia
"Murray, GA",7,Murray,GA,Georgia
"Muscogee, GA",9,Muscogee,GA,Georgia
"Newton, GA",7,Newton,GA,Georgia
"Oconee, GA",7,Oconee,GA,Georgia
"Oglethorpe, GA",11,Oglethorpe,GA,Georgia
"Paulding, GA",9,Paulding,GA,Georgia
"Peach, GA",6,Peach,GA,Georgia
"Pickens, GA",8,Pickens,GA,Georgia
"Pierce, GA",7,Pierce,GA,Georgia
"Pike, GA",5,Pike,GA,Georgia
"Polk, GA",5,Polk,GA,Georgia
"Pulaski, GA",8,Pulaski,GA,Georgia
"Putnam, GA",7,Putnam,GA,Georgia
"Quitman, GA",8,Quitman,GA,Georgia
"Rabun, GA",6,Rabun,GA,Georgia
"Randolph, GA",9,Randolph,GA,Georgia
"Richmond, GA",9,Richmond,GA,Georgia
"Rockdale, GA",9,Rockdale,GA,Georgia
"Schley, GA",7,Schley,GA,Georgia
"Screven, GA",8,Screven,GA,Georgia
"Seminole, GA",9,Seminole,GA,Georgia
"Spalding, GA",9,Spalding,GA,Georgia
"Stephens, GA",9,Stephens,GA,Georgia
"Stewart, GA",8,Stewart,GA,Georgia
"Sumter, GA",7,Sumter,GA,Georgia
"Talbot, GA",7,Talbot,GA,Georgia
"Taliaferro, GA",11,Taliaferro,GA,Georgia
"Tattnall, GA",9,Tattnall,GA,Georgia
"Taylor, GA",7,Taylor,GA,Georgia
"Telfair, GA",8,Telfair,GA,Georgia
"Terrell, GA",8,Terrell,GA,Georgia
"Thomas, GA",7,Thomas,GA,Georgia
"Tift, GA",5,Tift,GA,Georgia
"Toombs, GA",7,Toombs,GA,Georgia
"Towns, GA",6,Towns,GA,Georgia
"Treutlen, GA",9,Treutlen,GA,Georgia
"Troup, GA",6,Troup,GA,Georgia
"Turner, GA",7,Turner,GA,Georgia
"Twiggs, GA",7,Twiggs,GA,Georgia
"Union, GA",6,Union,GA,Georgia
"Upson, GA",6,Upson,GA,Georgia
"Walker, GA",7,Walker,GA,Georgia
"Walton, GA",7,Walton,GA,Georgia
"Ware, GA",5,Ware,GA,Georgia
"Warren, GA",7,Warren,GA,Georgia
"Washington, GA",11,Washington,GA,Georgia
"Wayne, GA",6,Wayne,GA,Georgia
"Webster, GA",8,Webster,GA,Georgia
"Wheeler, GA",8,Wheeler,GA,Georgia
"White, GA",6,White,GA,Georgia
"Whitfield, GA",10,Whitfield,GA,Georgia
"Wilcox, GA",7,Wilcox,GA,Georgia
"Wilkes, GA",7,Wilkes,GA,Georgia
"Wilkinson, GA",10,Wilkinson,GA,Georgia
"Worth, GA",6,Worth,GA,Georgia
"Hawaii, HI",7,Hawaii,HI,Hawaii
"Honolulu, HI",9,Honolulu,HI,Hawaii
"Kalawao, HI",8,Kalawao,HI,Hawaii
"Kauai, HI",6,Kauai,HI,Hawaii
"Maui, HI",5,Maui,HI,Hawaii
"Ada, ID",4,Ada,ID,Idaho
"Adams, ID",6,Adams,ID,Idaho
"Bannock, ID",8,Bannock,ID,Idaho
"Bear Lake, ID",10,Bear Lake,ID,Idaho
"Benewah, ID",8,Benewah,ID,Idaho
"Bingham, ID",8,Bingham,ID,Idaho
"Blaine, ID",7,Blaine,ID,Idaho
"Boise, ID",6,Boise,ID,Idaho
"Bonner, ID",7,Bonner,ID,Idaho
"Bonneville, ID",11,Bonneville,ID,Idaho
"Boundary, ID",9,Boundary,ID,Idaho
"Butte, ID",6,Butte,ID,Idaho
"Camas, ID",6,Camas,ID,Idaho
"Canyon, ID",7,Canyon,ID,Idaho
"Caribou, ID",8,Caribou,ID,Idaho
"Cassia, ID",7,Cassia,ID,Idaho
"Clark, ID",6,Clark,ID,Idaho
"Clearwater, ID",11,Clearwater,ID,Idaho
"Custer, ID",7,Custer,ID,Idaho
"Elmore, ID",7,Elmore,ID,Idaho
"Franklin, ID",9,Franklin,ID,Idaho
"Fremont, ID",8,Fremont,ID,Idaho
"Gem, ID",4,Gem,ID,Idaho
"Gooding, ID",8,Gooding,ID,Idaho
"Idaho, ID",6,Idaho,ID,Idaho
